folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.9933333333333333,0.9933333333333333,0.9966666666666667,0.9833333333333333,0.98,0.99,0.98,0.9933333333333333,0.98,0.9933333333333333,0.9966666666666667,0.9966666666666667,0.99,0.99,0.99,0.9933333333333333,0.9966666666666667,0.99,0.98,0.99,0.99,0.9833333333333333,0.99,0.9833333333333333,0.9833333333333333,0.9966666666666667,0.9766666666666667,0.9933333333333333,0.98,0.9866666666666667
AtrialFibrillation,0.4,1.0,0.7333333333333333,0.6,0.6,0.6,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.6,0.8666666666666667,0.4666666666666667,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.8666666666666667,1.0,0.8666666666666667,0.6,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.6,1.0,0.7333333333333333,0.6,0.8666666666666667,0.6,0.7333333333333333,0.6
BasicMotions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cricket,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9861111111111112
Epilepsy,0.9927536231884058,0.9782608695652174,0.9927536231884058,0.9927536231884058,1.0,0.9927536231884058,0.9855072463768116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,0.9927536231884058,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,0.9927536231884058,1.0,1.0,0.9927536231884058
EthanolConcentration,0.4752851711026616,0.5095057034220533,0.467680608365019,0.4600760456273764,0.4714828897338403,0.4790874524714829,0.467680608365019,0.46387832699619774,0.5057034220532319,0.5095057034220533,0.4866920152091255,0.5057034220532319,0.49049429657794674,0.44866920152091255,0.49429657794676807,0.467680608365019,0.5437262357414449,0.4866920152091255,0.4828897338403042,0.4714828897338403,0.5057034220532319,0.467680608365019,0.4866920152091255,0.49049429657794674,0.4790874524714829,0.4790874524714829,0.4790874524714829,0.4714828897338403,0.4752851711026616,0.5703422053231939
ERing,0.9740740740740741,0.9814814814814815,0.9481481481481482,0.9851851851851852,0.9407407407407408,0.9666666666666667,0.9851851851851852,0.9925925925925926,0.9148148148148149,0.9666666666666667,0.9925925925925926,0.9740740740740741,0.9851851851851852,0.9888888888888889,0.9851851851851852,0.9592592592592593,0.9629629629629629,0.9814814814814815,0.9888888888888889,0.9740740740740741,0.9851851851851852,0.8888888888888888,0.9777777777777777,0.9777777777777777,0.9703703703703703,0.9296296296296296,0.9703703703703703,0.9777777777777777,0.9851851851851852,0.9555555555555556
FingerMovements,0.55,0.57,0.54,0.54,0.56,0.54,0.54,0.5,0.56,0.46,0.46,0.56,0.57,0.58,0.49,0.56,0.56,0.57,0.62,0.54,0.5,0.51,0.56,0.52,0.54,0.61,0.51,0.61,0.61,0.59
HandMovementDirection,0.36486486486486486,0.43243243243243246,0.44594594594594594,0.44594594594594594,0.40540540540540543,0.4864864864864865,0.36486486486486486,0.35135135135135137,0.33783783783783783,0.40540540540540543,0.3783783783783784,0.43243243243243246,0.33783783783783783,0.36486486486486486,0.36486486486486486,0.3783783783783784,0.40540540540540543,0.40540540540540543,0.36486486486486486,0.3783783783783784,0.32432432432432434,0.3108108108108108,0.3783783783783784,0.3783783783783784,0.3918918918918919,0.32432432432432434,0.32432432432432434,0.40540540540540543,0.3783783783783784,0.33783783783783783
Handwriting,0.5223529411764706,0.5047058823529412,0.5235294117647059,0.5011764705882353,0.5352941176470588,0.47294117647058825,0.52,0.46941176470588236,0.5058823529411764,0.5447058823529412,0.5258823529411765,0.5223529411764706,0.5047058823529412,0.5152941176470588,0.5117647058823529,0.54,0.49529411764705883,0.5305882352941177,0.5094117647058823,0.5305882352941177,0.5211764705882352,0.52,0.49411764705882355,0.5611764705882353,0.5129411764705882,0.5341176470588235,0.5388235294117647,0.5117647058823529,0.5611764705882353,0.5152941176470588
