folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.9933333333333333,0.9966666666666667,0.9966666666666667,0.9933333333333333,0.9966666666666667,0.9966666666666667,0.9933333333333333,0.9966666666666667,0.9866666666666667,0.9966666666666667,0.9966666666666667,1.0,0.9966666666666667,1.0,0.9966666666666667,0.9966666666666667,1.0,0.9966666666666667,0.9966666666666667,1.0,1.0,0.9966666666666667,0.9966666666666667,0.9933333333333333,0.9966666666666667,1.0,0.9966666666666667,0.9966666666666667,0.9933333333333333,0.9966666666666667
AtrialFibrillation,0.13333333333333333,0.2,0.13333333333333333,0.2,0.2,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.4,0.4,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.2,0.2,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.2,0.26666666666666666,0.3333333333333333,0.2,0.26666666666666666,0.26666666666666666,0.2,0.3333333333333333
BasicMotions,1.0,1.0,0.975,1.0,0.975,0.975,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.975,1.0,0.975,0.975,1.0,0.975,0.975,1.0,1.0,1.0,1.0,0.975,0.975,0.975
Cricket,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DuckDuckGeese,0.46,0.4,0.56,0.58,0.52,0.48,0.42,0.56,0.42,0.42,0.46,0.54,0.38,0.52,0.46,0.52,0.5,0.46,0.52,0.56,0.42,0.46,0.42,0.4,0.38,0.48,0.4,0.38,0.36,0.56
EigenWorms,0.9007633587786259,0.8091603053435115,0.8549618320610687,0.8854961832061069,0.816793893129771,0.7938931297709924,0.8244274809160306,0.8396946564885496,0.8244274809160306,0.8015267175572519,0.8549618320610687,0.8854961832061069,0.8625954198473282,0.8549618320610687,0.8778625954198473,0.8778625954198473,0.8320610687022901,0.8473282442748091,0.8396946564885496,0.8702290076335878,0.8473282442748091,0.8625954198473282,0.8396946564885496,0.8320610687022901,0.8396946564885496,0.8702290076335878,0.7862595419847328,0.8625954198473282,0.8473282442748091,0.9007633587786259
Epilepsy,0.9855072463768116,0.9782608695652174,1.0,0.9927536231884058,1.0,0.9782608695652174,0.9855072463768116,0.9855072463768116,0.9927536231884058,1.0,0.9710144927536232,0.9927536231884058,0.9927536231884058,1.0,1.0,0.9927536231884058,0.9927536231884058,1.0,1.0,0.9565217391304348,0.9927536231884058,0.9782608695652174,1.0,0.9927536231884058,1.0,0.9927536231884058,0.9782608695652174,0.9927536231884058,0.9927536231884058,1.0
EthanolConcentration,0.4600760456273764,0.4752851711026616,0.4372623574144487,0.4714828897338403,0.49429657794676807,0.4296577946768061,0.46387832699619774,0.4752851711026616,0.5209125475285171,0.49049429657794674,0.4828897338403042,0.4866920152091255,0.49049429657794674,0.4524714828897338,0.5209125475285171,0.4866920152091255,0.49429657794676807,0.45627376425855515,0.45627376425855515,0.4790874524714829,0.4448669201520912,0.5209125475285171,0.4372623574144487,0.4752851711026616,0.49429657794676807,0.4524714828897338,0.49049429657794674,0.4600760456273764,0.5209125475285171,0.4866920152091255
ERing,0.9814814814814815,0.9814814814814815,0.9851851851851852,0.9777777777777777,0.9740740740740741,0.9851851851851852,0.9925925925925926,0.9888888888888889,0.9777777777777777,0.9851851851851852,0.9888888888888889,0.9703703703703703,0.9851851851851852,0.9925925925925926,0.9777777777777777,0.9666666666666667,0.9703703703703703,0.9777777777777777,0.9814814814814815,0.9740740740740741,0.9962962962962963,0.9740740740740741,0.9777777777777777,0.9777777777777777,0.9740740740740741,0.9740740740740741,0.9814814814814815,0.9814814814814815,0.9851851851851852,0.9703703703703703
FaceDetection,0.6532349602724177,0.7196367763904654,0.7009080590238366,0.7068671963677639,0.7176503972758229,0.7105561861520999,0.7193530079455165,0.7062996594778661,0.7045970488081725,0.710272417707151,0.7080022701475596,0.7085698070374574,0.7094211123723042,0.7099886492622021,0.7094211123723042,0.713961407491487,0.7238933030646992,0.7009080590238366,0.7193530079455165,0.7011918274687855,0.7105561861520999,0.717366628830874,0.7085698070374574,0.7062996594778661,0.7119750283768445,0.7011918274687855,0.7150964812712827,0.7054483541430193,0.6986379114642451,0.7006242905788876
FingerMovements,0.53,0.59,0.53,0.57,0.6,0.58,0.53,0.59,0.53,0.53,0.55,0.55,0.62,0.53,0.63,0.55,0.56,0.59,0.6,0.55,0.48,0.52,0.51,0.58,0.55,0.53,0.54,0.52,0.65,0.58
HandMovementDirection,0.47297297297297297,0.5135135135135135,0.5135135135135135,0.4864864864864865,0.5,0.43243243243243246,0.4189189189189189,0.40540540540540543,0.44594594594594594,0.43243243243243246,0.33783783783783783,0.4594594594594595,0.5135135135135135,0.47297297297297297,0.5540540540540541,0.40540540540540543,0.43243243243243246,0.4864864864864865,0.3918918918918919,0.4189189189189189,0.4189189189189189,0.36486486486486486,0.44594594594594594,0.5,0.4594594594594595,0.43243243243243246,0.3918918918918919,0.3918918918918919,0.3783783783783784,0.5135135135135135
Handwriting,0.5411764705882353,0.5235294117647059,0.5305882352941177,0.5435294117647059,0.5305882352941177,0.5435294117647059,0.5729411764705883,0.5376470588235294,0.5658823529411765,0.5564705882352942,0.5505882352941176,0.4858823529411765,0.5505882352941176,0.5352941176470588,0.5458823529411765,0.5741176470588235,0.52,0.5423529411764706,0.571764705882353,0.5752941176470588,0.6011764705882353,0.571764705882353,0.5223529411764706,0.58,0.5447058823529412,0.5294117647058824,0.5694117647058824,0.5682352941176471,0.571764705882353,0.5752941176470588
Heartbeat,0.7414634146341463,0.7365853658536585,0.6926829268292682,0.7219512195121951,0.7365853658536585,0.7268292682926829,0.7121951219512195,0.7219512195121951,0.7414634146341463,0.7073170731707317,0.7317073170731707,0.7414634146341463,0.7219512195121951,0.7170731707317073,0.7317073170731707,0.7073170731707317,0.7219512195121951,0.7170731707317073,0.7317073170731707,0.7170731707317073,0.7414634146341463,0.7317073170731707,0.7268292682926829,0.7219512195121951,0.7121951219512195,0.7317073170731707,0.7170731707317073,0.7219512195121951,0.7365853658536585,0.7268292682926829
Libras,0.9055555555555556,0.8944444444444445,0.9166666666666666,0.9055555555555556,0.8833333333333333,0.8444444444444444,0.8666666666666667,0.8944444444444445,0.9277777777777778,0.8888888888888888,0.8611111111111112,0.8722222222222222,0.9333333333333333,0.9277777777777778,0.9055555555555556,0.9055555555555556,0.9055555555555556,0.9111111111111111,0.9166666666666666,0.8888888888888888,0.9055555555555556,0.8388888888888889,0.9111111111111111,0.8833333333333333,0.9055555555555556,0.8777777777777778,0.8777777777777778,0.8833333333333333,0.9,0.9
LSST,0.6423357664233577,0.6269261962692619,0.629764801297648,0.6354420113544201,0.6338199513381995,0.6188158961881589,0.6277372262773723,0.6390916463909164,0.6423357664233577,0.6269261962692619,0.6305758313057583,0.6338199513381995,0.6281427412814274,0.6330089213300892,0.6459854014598541,0.6370640713706407,0.6354420113544201,0.6362530413625304,0.6317923763179237,0.6277372262773723,0.6321978913219789,0.637875101378751,0.6309813463098135,0.6459854014598541,0.6366585563665855,0.6224655312246553,0.6346309813463098,0.6346309813463098,0.6338199513381995,0.6285482562854826
MotorImagery,0.53,0.59,0.53,0.49,0.52,0.53,0.47,0.58,0.51,0.54,0.55,0.45,0.5,0.53,0.62,0.57,0.59,0.48,0.46,0.53,0.49,0.59,0.5,0.51,0.62,0.5,0.56,0.62,0.51,0.54
NATOPS,0.8833333333333333,0.9,0.9,0.8777777777777778,0.9333333333333333,0.8944444444444445,0.9111111111111111,0.9055555555555556,0.9,0.8666666666666667,0.8333333333333334,0.9,0.8666666666666667,0.8611111111111112,0.8888888888888888,0.8944444444444445,0.8777777777777778,0.9,0.8888888888888888,0.9055555555555556,0.9,0.8888888888888888,0.8833333333333333,0.85,0.9277777777777778,0.8777777777777778,0.8833333333333333,0.85,0.9111111111111111,0.8944444444444445
PenDigits,0.9825614636935391,0.9962835906232133,0.9942824471126358,0.9971412235563178,0.9959977129788451,0.9954259576901087,0.9954259576901087,0.9957118353344768,0.9968553459119497,0.9959977129788451,0.9928530588907948,0.9968553459119497,0.9948542024013722,0.9971412235563178,0.9954259576901087,0.9959977129788451,0.9962835906232133,0.9965694682675815,0.994568324757004,0.9965694682675815,0.9959977129788451,0.994568324757004,0.9962835906232133,0.9962835906232133,0.9974271012006861,0.9954259576901087,0.9965694682675815,0.9971412235563178,0.9968553459119497,0.9962835906232133
PEMS-SF,0.8265895953757225,0.8728323699421965,0.8786127167630058,0.8554913294797688,0.838150289017341,0.8092485549132948,0.8670520231213873,0.8439306358381503,0.838150289017341,0.8554913294797688,0.8439306358381503,0.8323699421965318,0.884393063583815,0.7861271676300579,0.884393063583815,0.8439306358381503,0.8901734104046243,0.8092485549132948,0.884393063583815,0.884393063583815,0.8670520231213873,0.8786127167630058,0.8208092485549133,0.8208092485549133,0.8786127167630058,0.8670520231213873,0.8670520231213873,0.8728323699421965,0.8670520231213873,0.8554913294797688
PhonemeSpectra,0.27676707426185504,0.28780196838651956,0.2788547569340889,0.2991351028929317,0.28750372800477186,0.28959141067700567,0.28720548762302417,0.2857142857142857,0.2833283626603042,0.2818371607515658,0.2824336415150611,0.2815389203698181,0.27676707426185504,0.2812406799880704,0.27646883388010735,0.2857142857142857,0.2842230838055473,0.2883984491500149,0.2800477184610796,0.2779600357888458,0.2800477184610796,0.29555621831195944,0.2809424396063227,0.29317029525797794,0.27497763197136893,0.27169698777214435,0.2818371607515658,0.2860125260960334,0.2863107664777811,0.2755741127348643
RacketSports,0.9013157894736842,0.9276315789473685,0.9276315789473685,0.8947368421052632,0.8947368421052632,0.9473684210526315,0.9407894736842105,0.9210526315789473,0.9276315789473685,0.9473684210526315,0.9276315789473685,0.9078947368421053,0.9342105263157895,0.9342105263157895,0.9210526315789473,0.9342105263157895,0.9276315789473685,0.9407894736842105,0.9473684210526315,0.9671052631578947,0.9144736842105263,0.9013157894736842,0.9407894736842105,0.9407894736842105,0.9210526315789473,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9342105263157895,0.9210526315789473
SelfRegulationSCP1,0.8464163822525598,0.8498293515358362,0.8361774744027304,0.856655290102389,0.8600682593856656,0.8907849829351536,0.8532423208191127,0.856655290102389,0.8839590443686007,0.89419795221843,0.8600682593856656,0.8907849829351536,0.8805460750853242,0.8668941979522184,0.863481228668942,0.856655290102389,0.8532423208191127,0.8600682593856656,0.8737201365187713,0.8737201365187713,0.8498293515358362,0.8839590443686007,0.8737201365187713,0.89419795221843,0.8600682593856656,0.8600682593856656,0.8668941979522184,0.8668941979522184,0.8737201365187713,0.8668941979522184
SelfRegulationSCP2,0.49444444444444446,0.5166666666666667,0.4722222222222222,0.5111111111111111,0.42777777777777776,0.43333333333333335,0.5055555555555555,0.5055555555555555,0.5,0.4722222222222222,0.37777777777777777,0.4666666666666667,0.5166666666666667,0.5055555555555555,0.5388888888888889,0.4444444444444444,0.5,0.4666666666666667,0.4777777777777778,0.5444444444444444,0.5,0.5055555555555555,0.5111111111111111,0.4777777777777778,0.5,0.49444444444444446,0.49444444444444446,0.5222222222222223,0.4666666666666667,0.48333333333333334
StandWalkJump,0.5333333333333333,0.26666666666666666,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4,0.4666666666666667,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6,0.6,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.6,0.2,0.5333333333333333,0.6,0.4,0.5333333333333333,0.4,0.4666666666666667,0.6,0.4666666666666667,0.3333333333333333
UWaveGestureLibrary,0.928125,0.9375,0.95,0.940625,0.9375,0.953125,0.940625,0.93125,0.9625,0.9625,0.95,0.975,0.953125,0.94375,0.946875,0.940625,0.946875,0.934375,0.946875,0.928125,0.95,0.9375,0.95,0.946875,0.946875,0.95,0.94375,0.95,0.946875,0.959375
