folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.9933333333333333,0.9766666666666667,0.9733333333333334,0.9633333333333334,0.9833333333333333,0.97,0.97,0.99,0.9633333333333334,0.9666666666666667,0.99,0.9866666666666667,0.9866666666666667,0.9633333333333334,0.9766666666666667,0.9866666666666667,0.98,0.9766666666666667,0.9666666666666667,0.99,0.98,0.9833333333333333,0.9733333333333334,0.96,0.9766666666666667,0.9833333333333333,0.9666666666666667,0.98,0.98,0.9833333333333333
AtrialFibrillation,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.3333333333333333,0.4,0.26666666666666666,0.4,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.2,0.4666666666666667,0.4666666666666667,0.2,0.26666666666666666,0.4,0.26666666666666666,0.26666666666666666,0.4,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.26666666666666666
BasicMotions,1.0,1.0,0.975,1.0,0.975,0.975,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,0.975,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.975,0.975,0.975
Cricket,0.9861111111111112,0.9722222222222222,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,1.0,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,0.9861111111111112
DuckDuckGeese,0.34,0.32,0.4,0.38,0.34,0.24,0.3,0.34,0.28,0.24,0.28,0.3,0.4,0.34,0.26,0.28,0.28,0.46,0.28,0.46,0.3,0.28,0.36,0.38,0.26,0.24,0.24,0.3,0.44,0.34
EigenWorms,0.9389312977099237,0.8015267175572519,0.8473282442748091,0.8778625954198473,0.8396946564885496,0.8244274809160306,0.7938931297709924,0.8702290076335878,0.8778625954198473,0.8702290076335878,0.9083969465648855,0.9007633587786259,0.8778625954198473,0.8931297709923665,0.8244274809160306,0.8320610687022901,0.8854961832061069,0.8778625954198473,0.8244274809160306,0.8854961832061069,0.8854961832061069,0.8931297709923665,0.8396946564885496,0.8396946564885496,0.8396946564885496,0.9007633587786259,0.8473282442748091,0.8396946564885496,0.8625954198473282,0.9007633587786259
Epilepsy,0.9927536231884058,1.0,1.0,1.0,0.9927536231884058,0.9855072463768116,1.0,0.9927536231884058,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,1.0,0.9855072463768116,1.0,1.0,1.0,0.9855072463768116,0.9855072463768116,1.0,1.0
EthanolConcentration,0.5551330798479087,0.5247148288973384,0.5817490494296578,0.5057034220532319,0.55893536121673,0.596958174904943,0.5437262357414449,0.5247148288973384,0.5095057034220533,0.5247148288973384,0.532319391634981,0.5209125475285171,0.49809885931558934,0.44866920152091255,0.5361216730038023,0.5019011406844106,0.49429657794676807,0.4752851711026616,0.5437262357414449,0.5285171102661597,0.5133079847908745,0.5817490494296578,0.5513307984790875,0.5437262357414449,0.5627376425855514,0.5057034220532319,0.532319391634981,0.5361216730038023,0.5209125475285171,0.4296577946768061
ERing,0.9629629629629629,0.9296296296296296,0.9703703703703703,0.937037037037037,0.9148148148148149,0.9740740740740741,0.9592592592592593,0.9222222222222223,0.9222222222222223,0.937037037037037,0.9111111111111111,0.9703703703703703,0.9555555555555556,0.9296296296296296,0.9222222222222223,0.9444444444444444,0.937037037037037,0.9777777777777777,0.9518518518518518,0.9555555555555556,0.9518518518518518,0.8703703703703703,0.9148148148148149,0.9481481481481482,0.937037037037037,0.8888888888888888,0.9407407407407408,0.9296296296296296,0.9555555555555556,0.9444444444444444
FaceDetection,0.5644154370034052,0.5825766174801362,0.5854143019296254,0.58683314415437,0.6356413166855845,0.6095346197502838,0.5899545970488081,0.6282633371169126,0.5916572077185017,0.6095346197502838,0.6214528944381384,0.5891032917139614,0.5970488081725313,0.5893870601589103,0.6013053348467651,0.5956299659477866,0.6188989784335982,0.6435868331441543,0.6047105561861521,0.6135073779795687,0.6021566401816119,0.6180476730987514,0.6106696935300795,0.6081157775255391,0.6276958002270148,0.6237230419977299,0.6208853575482406,0.5896708286038592,0.6200340522133939,0.6118047673098751
