folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.99,0.97,0.9833333333333333,0.98,0.9833333333333333,0.9766666666666667,0.97,0.9866666666666667,0.9733333333333334,0.96,0.9833333333333333,0.98,0.9833333333333333,0.9733333333333334,0.9866666666666667,0.9733333333333334,0.9766666666666667,0.9733333333333334,0.96,0.98,0.97,0.9766666666666667,0.9633333333333334,0.96,0.98,0.98,0.9633333333333334,0.98,0.9766666666666667,0.9733333333333334
AtrialFibrillation,0.26666666666666666,0.4,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.4,0.3333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.4,0.26666666666666666,0.4,0.4,0.26666666666666666,0.2,0.4,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.2,0.3333333333333333,0.4,0.2,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.4
BasicMotions,1.0,1.0,0.975,1.0,0.975,0.975,1.0,1.0,0.975,1.0,0.975,1.0,1.0,1.0,1.0,0.95,0.975,0.975,1.0,0.975,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.975,0.95,0.975
Cricket,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9583333333333334,1.0,1.0,1.0,0.9722222222222222,0.9444444444444444,0.9444444444444444,1.0,0.9722222222222222,0.9305555555555556,0.9861111111111112,1.0,0.9722222222222222,0.9861111111111112,0.9861111111111112,0.9722222222222222,0.9583333333333334,0.9861111111111112,0.9444444444444444,1.0,0.9305555555555556,0.9861111111111112,0.9861111111111112,0.9583333333333334,0.9722222222222222,0.9722222222222222
DuckDuckGeese,0.38,0.32,0.46,0.48,0.5,0.44,0.44,0.38,0.48,0.46,0.38,0.54,0.54,0.48,0.48,0.36,0.4,0.4,0.42,0.56,0.38,0.38,0.36,0.4,0.48,0.42,0.4,0.4,0.38,0.42
EigenWorms,0.6183206106870229,0.5725190839694656,0.6412213740458015,0.6335877862595419,0.6183206106870229,0.5419847328244275,0.6030534351145038,0.6412213740458015,0.5954198473282443,0.6183206106870229,0.6259541984732825,0.6793893129770993,0.648854961832061,0.6412213740458015,0.6412213740458015,0.6106870229007634,0.6183206106870229,0.6183206106870229,0.6412213740458015,0.7862595419847328,0.6335877862595419,0.6564885496183206,0.6030534351145038,0.6259541984732825,0.6030534351145038,0.648854961832061,0.549618320610687,0.6946564885496184,0.6030534351145038,0.6259541984732825
Epilepsy,1.0,0.9927536231884058,0.9927536231884058,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,0.9927536231884058,1.0
EthanolConcentration,0.3612167300380228,0.38022813688212925,0.4068441064638783,0.3612167300380228,0.3574144486692015,0.44866920152091255,0.39543726235741444,0.45627376425855515,0.38022813688212925,0.33840304182509506,0.43346007604562736,0.3726235741444867,0.38022813688212925,0.34220532319391633,0.45627376425855515,0.376425855513308,0.3916349809885932,0.376425855513308,0.4220532319391635,0.4220532319391635,0.4220532319391635,0.4448669201520912,0.4068441064638783,0.4220532319391635,0.39923954372623577,0.41064638783269963,0.40304182509505704,0.38783269961977185,0.34600760456273766,0.3840304182509506
ERing,0.9074074074074074,0.8888888888888888,0.8629629629629629,0.8185185185185185,0.8333333333333334,0.8074074074074075,0.8481481481481481,0.8666666666666667,0.8629629629629629,0.8777777777777778,0.8222222222222222,0.8962962962962963,0.8666666666666667,0.7777777777777778,0.8148148148148148,0.8592592592592593,0.9,0.9037037037037037,0.8629629629629629,0.8740740740740741,0.8111111111111111,0.7333333333333333,0.8629629629629629,0.8407407407407408,0.8555555555555555,0.7185185185185186,0.8481481481481481,0.837037037037037,0.8296296296296296,0.8555555555555555
FaceDetection,0.5158910329171397,0.5073779795686719,0.5008513053348468,0.5002837684449489,0.5019863791146425,0.5,0.6047105561861521,0.532633371169126,0.5153234960272418,0.5011350737797957,0.5005675368898979,0.5175936435868331,0.5,0.6021566401816119,0.5445516458569807,0.5493757094211124,0.6163450624290578,0.5073779795686719,0.5002837684449489,0.49943246311010214,0.5,0.5,0.5,0.5732122587968218,0.5002837684449489,0.49971623155505107,0.5930760499432464,0.5,0.5107832009080591,0.49971623155505107
