,Arsenal,DrCIF,HC1,HC2,TDE,CBOSS, CIF, DTW_A, DTW_D, DTW_I, gRSF, InceptionTime, mrseql, MUSE, ResNet, RISE, ROCKET, STC, TapNet, TSF
ArticularyWordRecognition,0.996444,0.975556,0.978889,0.978778,0.989444,0.988667,0.943111,0.982111,0.979889,0.995778,0.991000,0.989778,0.988667,0.982556,0.957333,0.995556,0.975111,0.971333,0.977333,0.948222
AtrialFibrillation       ,0.260000,0.304444,0.251111,0.233333,0.224444,0.235556,0.346667,0.275556,0.293333,0.282222,0.220000,0.368889,0.740000,0.362222,0.244444,0.248889,0.317778,0.302222,0.302222,0.297778
BasicMotions             ,0.989167,0.987500,0.997500,1.000000,0.999167,0.952500,0.721667,1.000000,1.000000,0.989167,1.000000,0.948333,1.000000,1.000000,1.000000,0.990000,0.979167,0.991667,0.991667,0.998333
Cricket                  ,1.000000,0.975463,0.983796,0.992593,1.000000,1.000000,0.957407,0.974074,0.992593,0.999537,0.994444,0.992130,0.997685,0.993981,0.977778,1.000000,0.989352,0.975000,0.993056,0.931481
DuckDuckGeese            ,0.466667,0.430667,0.560000,0.576000,0.566667,0.492000,0.292667,0.444667,0.476000,0.498667,nan,nan,nan,0.632000,0.508000,0.461333,0.434667,nan,0.322000,0.388667
EigenWorms               ,0.848092,0.627990,0.903308,0.905598,nan,0.645802,0.441985,0.830025,0.781679,0.894402,nan,nan,nan,0.454453,0.819338,0.862850,0.746819,nan,0.863359,0.766158
Epilepsy                 ,0.990580,0.998309,0.983816,0.987440,0.973671,0.963043,0.670290,0.960145,1.000000,0.998309,0.986473,0.999275,0.996377,0.991787,0.998551,0.990821,0.987440,0.960870,0.996860,0.973430
EthanolConcentration     ,0.476933,0.396198,0.728897,0.671483,0.295691,0.301521,0.306844,0.340558,0.806844,0.790875,0.279214,0.601774,0.486439,0.286185,0.491635,0.446768,0.823574,0.289861,0.526109,0.454246
ERing                    ,0.980247,0.844815,0.956543,0.978148,0.928889,0.929136,0.914198,0.919753,0.942593,0.985062,0.920988,0.931852,0.968889,0.871852,0.824444,0.980494,0.842840,0.894568,0.938889,0.898395
FaceDetection            ,0.707662,0.523156,0.688886,0.668757,0.531271,0.532785,0.515342,0.553632,0.691657,0.713470,nan,nan,nan,0.629711,0.511682,0.694164,0.697645,nan,0.606375,0.689538
FingerMovements          ,0.559000,0.510333,0.539000,0.556667,0.549333,0.541667,0.555000,0.544333,0.537667,0.552333,0.561333,0.555333,0.547667,0.547000,0.521000,0.552667,0.534000,0.513333,0.538333,0.531667
HandMovementDirection    ,0.446396,0.288739,0.522072,0.463063,0.307207,0.303153,0.266667,0.320721,0.377928,0.397748,0.423874,0.352252,0.380180,0.353153,0.282432,0.445946,0.349550,0.323423,0.376577,0.485135
Handwriting              ,0.551059,0.490863,0.351294,0.344431,0.605490,0.612078,0.343333,0.369569,0.504118,0.563412,0.657373,0.540353,0.518549,0.597843,0.182667,0.566667,0.287686,0.329529,0.558510,0.364235
Heartbeat                ,0.724878,0.721463,0.765203,0.764390,0.680650,0.688780,0.638049,0.748943,0.721789,0.728618,0.732033,0.725203,0.735935,0.638862,0.732195,0.717561,0.721463,0.739675,0.722276,0.722764
Libras                   ,0.894630,0.852593,0.916667,0.911111,0.878519,0.880370,0.786296,0.755556,0.902778,0.926852,0.887222,0.865741,0.902963,0.941111,0.816667,0.906111,0.844630,0.836296,0.876481,0.797222
LSST                     ,0.633360,0.436226,0.561706,0.553474,0.569559,0.547553,0.495742,0.581536,0.538362,0.636956,0.339686,0.602758,0.636185,0.429359,0.505758,0.631536,0.578170,0.463314,0.562625,0.343052
MotorImagery             ,0.533667,0.523667,0.518000,0.495667,0.503667,0.521000,0.496333,0.518667,0.521667,0.531667,nan,nan,nan,0.497667,0.498333,0.531333,0.508333,nan,0.540000,0.538000
NATOPS                   ,0.888519,0.824815,0.844074,0.844815,0.814815,0.820370,0.760741,0.823704,0.828519,0.892037,0.966296,0.864259,0.871296,0.971111,0.805926,0.885370,0.843519,0.902963,0.816111,0.777222
PenDigits                ,0.995521,0.956127,0.989670,0.994216,0.992691,0.992777,0.992176,0.961206,0.971936,0.995569,0.996827,0.971374,0.986783,0.996446,0.874671,0.995597,0.976977,0.936507,0.971603,0.941109
PEMS-SF                  ,0.854143,0.965703,0.998459,0.997495,0.787283,0.770520,0.802312,0.912717,0.979769,0.998073,nan,nan,nan,0.819461,0.989788,0.856262,0.984008,nan,0.998459,0.967630
PhonemeSpectra           ,0.283289,0.194254,0.265573,0.306482,0.153872,0.153872,0.101780,0.227050,0.328681,0.294274,nan,nan,nan,0.308599,0.267780,0.283468,0.306243,nan,0.232558,0.145203
RacketSports             ,0.928289,0.889035,0.892982,0.898026,0.857895,0.856360,0.816886,0.877851,0.906360,0.930482,0.916886,0.887281,0.895614,0.912281,0.841667,0.927851,0.880921,0.858114,0.890570,0.882895
SelfRegulationSCP1       ,0.866780,0.813311,0.859386,0.869625,0.813424,0.818089,0.806257,0.797383,0.860182,0.878726,0.846871,0.828555,0.735836,0.761092,0.731741,0.865529,0.847327,0.956769,0.834812,0.847327
SelfRegulationSCP2       ,0.487778,0.500185,0.488704,0.507778,0.524259,0.536852,0.484815,0.486852,0.516667,0.504630,0.520370,0.496111,0.495185,0.502407,0.502778,0.513519,0.516296,0.534630,0.527222,0.506481
