folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.8260869565217391,0.8235294117647058,0.7953964194373402,0.8005115089514067,0.8337595907928389,0.8414322250639387,0.8056265984654731,0.80306905370844,0.8005115089514067,0.80306905370844,0.8209718670076727,0.7979539641943734,0.7851662404092071,0.7902813299232737,0.8081841432225064,0.8209718670076727,0.7979539641943734,0.7928388746803069,0.7877237851662404,0.8388746803069054,0.8132992327365729,0.8388746803069054,0.8286445012787724,0.8235294117647058,0.8132992327365729,0.8081841432225064,0.8081841432225064,0.8005115089514067,0.8312020460358056,0.8107416879795396
ArrowHead,0.84,0.7542857142857143,0.7942857142857143,0.8857142857142857,0.8628571428571429,0.88,0.8628571428571429,0.8514285714285714,0.8171428571428572,0.8342857142857143,0.7771428571428571,0.8285714285714286,0.7485714285714286,0.8742857142857143,0.8457142857142858,0.8857142857142857,0.76,0.7885714285714286,0.8228571428571428,0.8342857142857143,0.8914285714285715,0.7885714285714286,0.7542857142857143,0.8,0.8571428571428571,0.8285714285714286,0.8914285714285715,0.8171428571428572,0.84,0.8228571428571428
Beef,0.8666666666666667,0.6333333333333333,0.7,0.7,0.8666666666666667,0.6666666666666666,0.9,0.8,0.9,0.9,0.8333333333333334,0.8333333333333334,0.9,0.5666666666666667,0.9666666666666667,0.8333333333333334,0.8,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.7,0.9333333333333333,0.8,0.7666666666666667,0.7333333333333333,0.6666666666666666,0.8333333333333334,0.8,0.8,0.8
BeetleFly,0.9,0.95,0.7,0.9,0.9,0.9,0.95,0.9,0.8,0.9,1.0,0.95,0.8,0.75,0.85,0.95,0.85,0.85,0.9,0.95,0.9,0.9,0.95,0.9,0.85,0.95,0.9,0.8,0.8,0.95
BirdChicken,0.95,0.9,0.95,1.0,0.95,1.0,0.95,0.95,0.9,0.95,0.95,0.95,1.0,0.95,0.9,1.0,1.0,1.0,0.9,0.95,0.95,1.0,1.0,0.95,0.95,0.95,0.85,0.85,1.0,0.95
Car,0.8833333333333333,0.8166666666666667,0.8833333333333333,0.8833333333333333,0.8,0.8666666666666667,0.7833333333333333,0.8833333333333333,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.8166666666666667,0.8333333333333334,0.85,0.8833333333333333,0.7833333333333333,0.9,0.8,0.8,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8666666666666667,0.9,0.8333333333333334,0.85
CBF,1.0,0.9933333333333333,0.9766666666666667,0.9788888888888889,0.9955555555555555,0.9966666666666667,0.9922222222222222,0.9966666666666667,0.9811111111111112,0.9977777777777778,0.9911111111111112,0.9566666666666667,0.9977777777777778,0.9922222222222222,0.9911111111111112,0.9977777777777778,0.9888888888888889,0.9911111111111112,0.99,0.9388888888888889,0.9533333333333334,0.9922222222222222,0.9977777777777778,0.9955555555555555,0.9933333333333333,0.9766666666666667,0.9877777777777778,0.9733333333333334,0.9988888888888889,0.9844444444444445
ChlorineConcentration,0.7403645833333333,0.75,0.7515625,0.7385416666666667,0.7395833333333334,0.7372395833333333,0.7453125,0.7247395833333333,0.7369791666666666,0.73203125,0.7377604166666667,0.7307291666666667,0.7479166666666667,0.74453125,0.7421875,0.7390625,0.7515625,0.7270833333333333,0.7427083333333333,0.7544270833333333,0.7348958333333333,0.7309895833333333,0.7473958333333334,0.7385416666666667,0.7559895833333333,0.7216145833333333,0.7265625,0.73046875,0.7359375,0.7252604166666666
CinCECGTorso,0.9992753623188406,0.991304347826087,0.9956521739130435,1.0,1.0,0.9971014492753624,0.9782608695652174,0.9978260869565218,0.9869565217391304,0.9971014492753624,0.991304347826087,0.9927536231884058,0.994927536231884,0.9876811594202899,0.9876811594202899,1.0,0.9891304347826086,0.9927536231884058,0.9710144927536232,1.0,0.9905797101449275,0.9985507246376811,0.9891304347826086,0.9905797101449275,0.9920289855072464,0.9876811594202899,0.9934782608695653,0.994927536231884,0.9978260869565218,0.9934782608695653
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0
