folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.7851662404092071,0.7851662404092071,0.7698209718670077,0.7340153452685422,0.7877237851662404,0.7698209718670077,0.7621483375959079,0.7595907928388747,0.7595907928388747,0.7698209718670077,0.7595907928388747,0.7877237851662404,0.7468030690537084,0.7800511508951407,0.7800511508951407,0.7621483375959079,0.7595907928388747,0.7621483375959079,0.7698209718670077,0.7851662404092071,0.7672634271099744,0.7672634271099744,0.7851662404092071,0.7928388746803069,0.7595907928388747,0.782608695652174,0.7570332480818415,0.782608695652174,0.80306905370844,0.7800511508951407
ArrowHead,0.8228571428571428,0.8571428571428571,0.8457142857142858,0.8857142857142857,0.8742857142857143,0.8342857142857143,0.8914285714285715,0.8514285714285714,0.8742857142857143,0.8971428571428571,0.8685714285714285,0.8628571428571429,0.7657142857142857,0.9085714285714286,0.8685714285714285,0.8742857142857143,0.8228571428571428,0.88,0.8857142857142857,0.8514285714285714,0.92,0.88,0.8114285714285714,0.8857142857142857,0.9142857142857143,0.8914285714285715,0.92,0.8514285714285714,0.8971428571428571,0.8742857142857143
Beef,0.8,0.7333333333333333,0.7333333333333333,0.6333333333333333,0.9,0.6333333333333333,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.7666666666666667,0.7,0.7666666666666667,0.9,0.6,0.8666666666666667,0.7666666666666667,0.7666666666666667,0.7,0.5666666666666667,0.8,0.7333333333333333,0.8,0.8333333333333334,0.7666666666666667,0.7333333333333333,0.6333333333333333,0.8,0.9,0.7333333333333333,0.6666666666666666
BeetleFly,0.9,0.85,0.8,0.95,0.85,0.9,1.0,0.85,0.85,0.85,1.0,0.95,0.8,0.8,0.75,0.95,0.9,0.9,0.95,0.85,0.85,1.0,0.85,1.0,0.85,1.0,0.85,0.8,0.85,1.0
BirdChicken,0.9,0.9,0.8,0.9,0.9,1.0,0.9,0.85,0.8,0.95,0.9,0.85,0.95,0.85,0.85,1.0,1.0,0.95,0.9,1.0,0.8,1.0,1.0,0.95,0.8,0.95,0.9,0.8,0.8,0.85
Car,0.9,0.9,0.9333333333333333,0.9333333333333333,0.8833333333333333,0.9166666666666666,0.8666666666666667,0.95,0.9,0.9333333333333333,0.9,0.9333333333333333,0.9333333333333333,0.95,0.9166666666666666,0.9,0.9166666666666666,0.8666666666666667,0.8833333333333333,0.95,0.9,0.9166666666666666,0.95,0.9166666666666666,0.95,0.9166666666666666,0.9333333333333333,0.95,0.8833333333333333,0.9333333333333333
CBF,1.0,0.9988888888888889,0.9911111111111112,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.9911111111111112,0.9988888888888889,0.9988888888888889,1.0,0.9988888888888889,1.0,0.9955555555555555,0.9955555555555555,0.9977777777777778,0.9977777777777778,0.9666666666666667,0.9988888888888889,1.0,1.0,1.0,1.0,1.0,0.9977777777777778,0.9688888888888889,1.0
ChlorineConcentration,0.8119791666666667,0.8223958333333333,0.8174479166666667,0.80625,0.8161458333333333,0.8151041666666666,0.8026041666666667,0.7984375,0.7364583333333333,0.7825520833333334,0.8213541666666667,0.76796875,0.82734375,0.81796875,0.8205729166666667,0.8067708333333333,0.7575520833333333,0.7921875,0.7854166666666667,0.79375,0.7984375,0.7776041666666667,0.81328125,0.7893229166666667,0.7372395833333333,0.79921875,0.74765625,0.7984375,0.7932291666666667,0.7627604166666667
CinCECGTorso,0.8268115942028985,0.8239130434782609,0.8478260869565217,0.9021739130434783,0.8927536231884058,0.8028985507246377,0.803623188405797,0.8826086956521739,0.8485507246376811,0.8666666666666667,0.8797101449275362,0.8782608695652174,0.8804347826086957,0.8942028985507247,0.8021739130434783,0.8782608695652174,0.8536231884057971,0.9260869565217391,0.8681159420289855,0.8963768115942029,0.8326086956521739,0.881159420289855,0.7913043478260869,0.8855072463768116,0.8304347826086956,0.881159420289855,0.8942028985507247,0.8978260869565218,0.8536231884057971,0.8702898550724638
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
