folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.6828644501278772,0.6777493606138107,0.6777493606138107,0.6368286445012787,0.680306905370844,0.6828644501278772,0.6879795396419437,0.6930946291560103,0.649616368286445,0.6572890025575447,0.6470588235294118,0.6879795396419437,0.6751918158567775,0.6572890025575447,0.6419437340153452,0.680306905370844,0.6828644501278772,0.6751918158567775,0.649616368286445,0.6675191815856778,0.6572890025575447,0.659846547314578,0.670076726342711,0.680306905370844,0.6086956521739131,0.6956521739130435,0.6572890025575447,0.6854219948849105,0.7033248081841432,0.6879795396419437
ArrowHead,0.6971428571428572,0.7657142857142857,0.8285714285714286,0.7542857142857143,0.8,0.8,0.7771428571428571,0.7885714285714286,0.76,0.7942857142857143,0.6971428571428572,0.8228571428571428,0.7428571428571429,0.7142857142857143,0.7657142857142857,0.8114285714285714,0.6857142857142857,0.8171428571428572,0.7542857142857143,0.7657142857142857,0.8114285714285714,0.7771428571428571,0.7714285714285715,0.7828571428571428,0.8342857142857143,0.8342857142857143,0.8,0.7828571428571428,0.8057142857142857,0.7885714285714286
Beef,0.5666666666666667,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.4,0.4666666666666667,0.5333333333333333,0.5666666666666667,0.5,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.5,0.4666666666666667,0.5,0.5,0.36666666666666664,0.5333333333333333,0.4,0.5,0.43333333333333335,0.4,0.43333333333333335,0.3,0.4,0.4,0.4666666666666667,0.5
BeetleFly,0.9,0.9,0.95,0.95,0.85,0.85,0.85,0.8,0.85,0.95,0.85,0.9,0.85,0.85,0.65,0.95,0.7,0.9,0.9,0.95,0.9,1.0,0.8,0.95,0.9,0.95,0.85,0.75,0.85,0.95
BirdChicken,0.8,0.8,0.75,0.85,1.0,0.85,0.85,0.75,0.75,0.75,0.9,0.85,1.0,0.8,0.8,0.9,0.9,0.95,0.8,0.8,0.75,0.95,0.75,0.75,0.8,0.95,0.7,0.9,0.8,0.8
Car,0.7166666666666667,0.7166666666666667,0.85,0.7333333333333333,0.7166666666666667,0.7833333333333333,0.7166666666666667,0.7833333333333333,0.7,0.8,0.75,0.7666666666666667,0.6833333333333333,0.7666666666666667,0.7833333333333333,0.7333333333333333,0.8166666666666667,0.7333333333333333,0.7666666666666667,0.8,0.7,0.7833333333333333,0.8166666666666667,0.75,0.8,0.75,0.7833333333333333,0.7833333333333333,0.7666666666666667,0.7
CBF,0.9733333333333334,0.9644444444444444,0.9444444444444444,0.95,0.9944444444444445,0.9588888888888889,0.9888888888888889,0.9833333333333333,0.9377777777777778,0.9833333333333333,0.9777777777777777,0.9311111111111111,1.0,0.9988888888888889,0.97,0.9888888888888889,0.9633333333333334,0.99,0.9966666666666667,0.9733333333333334,0.9522222222222222,0.9588888888888889,0.9877777777777778,0.9822222222222222,0.9311111111111111,0.9477777777777778,1.0,0.9477777777777778,0.9755555555555555,0.9533333333333334
ChlorineConcentration,0.61640625,0.6119791666666666,0.6005208333333333,0.6239583333333333,0.6205729166666667,0.61875,0.61953125,0.60390625,0.6083333333333333,0.5815104166666667,0.60234375,0.60078125,0.6088541666666667,0.5966145833333333,0.6049479166666667,0.6028645833333334,0.6190104166666667,0.6052083333333333,0.6052083333333333,0.61015625,0.6044270833333333,0.5861979166666667,0.62421875,0.6015625,0.6203125,0.5958333333333333,0.6041666666666666,0.5890625,0.6005208333333333,0.58984375
CinCECGTorso,0.7405797101449275,0.7565217391304347,0.7028985507246377,0.7594202898550725,0.7942028985507247,0.7659420289855072,0.7847826086956522,0.8065217391304348,0.7347826086956522,0.677536231884058,0.7268115942028985,0.6985507246376812,0.7710144927536232,0.768840579710145,0.7478260869565218,0.8268115942028985,0.7065217391304348,0.8818840579710145,0.7666666666666667,0.8123188405797102,0.7471014492753624,0.85,0.7855072463768116,0.7862318840579711,0.7985507246376812,0.7731884057971015,0.8789855072463768,0.8318840579710145,0.7427536231884058,0.7246376811594203
Coffee,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9642857142857143,0.8928571428571429,0.9285714285714286,0.9642857142857143,1.0,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.8928571428571429,1.0
