folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.7212276214833759,0.710997442455243,0.690537084398977,0.710997442455243,0.690537084398977,0.7263427109974424,0.6982097186700768,0.6930946291560103,0.6982097186700768,0.6956521739130435,0.6624040920716112,0.6930946291560103,0.6956521739130435,0.690537084398977,0.7084398976982097,0.7058823529411765,0.710997442455243,0.7033248081841432,0.670076726342711,0.731457800511509,0.6828644501278772,0.7365728900255755,0.7084398976982097,0.6726342710997443,0.690537084398977,0.6726342710997443,0.7212276214833759,0.6930946291560103,0.7186700767263428,0.7033248081841432
ArrowHead,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7828571428571428,0.8342857142857143,0.7428571428571429,0.7885714285714286,0.7657142857142857,0.7828571428571428,0.76,0.6971428571428572,0.7828571428571428,0.7485714285714286,0.8114285714285714,0.7885714285714286,0.8057142857142857,0.6857142857142857,0.7714285714285715,0.7885714285714286,0.7542857142857143,0.8457142857142858,0.76,0.7485714285714286,0.7714285714285715,0.7885714285714286,0.8171428571428572,0.8057142857142857,0.7828571428571428,0.8,0.76
Beef,0.8333333333333334,0.7,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.6,0.6666666666666666,0.6,0.7666666666666667,0.7,0.6333333333333333,0.7,0.7333333333333333,0.4666666666666667,0.7,0.5333333333333333,0.5333333333333333,0.6333333333333333,0.5,0.6666666666666666,0.5333333333333333,0.7666666666666667,0.6333333333333333,0.5666666666666667,0.5666666666666667,0.4666666666666667,0.5666666666666667,0.6,0.6,0.5666666666666667
BeetleFly,0.9,0.85,0.8,0.75,0.8,0.85,0.7,0.85,0.75,0.75,0.7,0.8,0.6,0.75,0.7,0.8,0.6,0.85,0.75,0.65,0.75,0.75,0.85,0.75,0.65,0.8,0.95,0.7,0.65,0.8
BirdChicken,0.55,0.75,0.9,0.7,0.75,0.7,0.75,0.5,0.75,0.7,0.65,0.75,0.85,0.6,0.55,0.7,0.65,0.65,0.65,0.95,0.7,0.9,0.6,0.7,0.6,0.6,0.75,0.6,0.55,0.7
Car,0.7666666666666667,0.7166666666666667,0.7833333333333333,0.7666666666666667,0.6333333333333333,0.7333333333333333,0.6666666666666666,0.8333333333333334,0.7166666666666667,0.7666666666666667,0.7333333333333333,0.7166666666666667,0.6833333333333333,0.7666666666666667,0.6666666666666666,0.7,0.6833333333333333,0.7166666666666667,0.7166666666666667,0.7333333333333333,0.7,0.7,0.8166666666666667,0.75,0.75,0.7166666666666667,0.7666666666666667,0.7666666666666667,0.7166666666666667,0.7166666666666667
CBF,0.9422222222222222,0.9277777777777778,0.9544444444444444,0.9255555555555556,0.9555555555555556,0.96,0.9922222222222222,0.9877777777777778,0.9655555555555555,0.9877777777777778,0.9733333333333334,0.9844444444444445,0.9822222222222222,0.9866666666666667,0.98,0.9544444444444444,0.9911111111111112,0.9755555555555555,0.96,0.9366666666666666,0.9611111111111111,0.9822222222222222,0.9677777777777777,0.9822222222222222,0.9788888888888889,0.9866666666666667,0.9777777777777777,0.9466666666666667,0.95,0.9466666666666667
ChlorineConcentration,0.6807291666666667,0.6940104166666666,0.6911458333333333,0.6966145833333334,0.6940104166666666,0.6875,0.6825520833333333,0.6890625,0.6895833333333333,0.6598958333333333,0.68125,0.6713541666666667,0.7013020833333333,0.68203125,0.6846354166666667,0.6901041666666666,0.6802083333333333,0.6763020833333333,0.6942708333333333,0.7052083333333333,0.6705729166666666,0.68515625,0.68828125,0.6830729166666667,0.6932291666666667,0.6838541666666667,0.6604166666666667,0.67109375,0.68125,0.6638020833333333
CinCECGTorso,0.9094202898550725,0.8753623188405797,0.9304347826086956,0.9318840579710145,0.8652173913043478,0.881159420289855,0.8144927536231884,0.8978260869565218,0.936231884057971,0.8601449275362318,0.9579710144927536,0.9057971014492754,0.9376811594202898,0.936231884057971,0.8833333333333333,0.9485507246376812,0.8666666666666667,0.9456521739130435,0.9304347826086956,0.9449275362318841,0.8702898550724638,0.8971014492753623,0.8797101449275362,0.8956521739130435,0.8528985507246377,0.9246376811594202,0.9528985507246377,0.9688405797101449,0.868840579710145,0.8869565217391304
Coffee,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,0.9285714285714286,0.8571428571428571,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,0.9642857142857143,1.0
Computers,0.716,0.736,0.736,0.748,0.72,0.756,0.712,0.732,0.748,0.756,0.716,0.744,0.736,0.784,0.752,0.752,0.74,0.788,0.748,0.78,0.784,0.796,0.776,0.72,0.804,0.748,0.744,0.788,0.744,0.744
CricketX,0.6205128205128205,0.6923076923076923,0.6794871794871795,0.6897435897435897,0.6923076923076923,0.658974358974359,0.6923076923076923,0.6897435897435897,0.7025641025641025,0.6615384615384615,0.6717948717948717,0.6205128205128205,0.6512820512820513,0.676923076923077,0.6743589743589744,0.6538461538461539,0.6512820512820513,0.6846153846153846,0.6538461538461539,0.7307692307692307,0.6692307692307692,0.6923076923076923,0.658974358974359,0.7205128205128205,0.6615384615384615,0.6282051282051282,0.6897435897435897,0.6820512820512821,0.6948717948717948,0.6615384615384615
CricketY,0.6666666666666666,0.6692307692307692,0.6410256410256411,0.6128205128205129,0.6666666666666666,0.6128205128205129,0.6358974358974359,0.6871794871794872,0.6487179487179487,0.6435897435897436,0.6641025641025641,0.6410256410256411,0.6435897435897436,0.6461538461538462,0.6923076923076923,0.6358974358974359,0.6794871794871795,0.6512820512820513,0.6743589743589744,0.6717948717948717,0.6641025641025641,0.676923076923077,0.6666666666666666,0.6538461538461539,0.6435897435897436,0.6641025641025641,0.6692307692307692,0.6384615384615384,0.6923076923076923,0.6641025641025641
CricketZ,0.6538461538461539,0.7102564102564103,0.6974358974358974,0.6641025641025641,0.7128205128205128,0.676923076923077,0.6923076923076923,0.6615384615384615,0.717948717948718,0.6384615384615384,0.676923076923077,0.6948717948717948,0.6615384615384615,0.6641025641025641,0.6538461538461539,0.6564102564102564,0.6461538461538462,0.6974358974358974,0.6615384615384615,0.6948717948717948,0.6615384615384615,0.6487179487179487,0.676923076923077,0.6666666666666666,0.6358974358974359,0.6461538461538462,0.7102564102564103,0.6666666666666666,0.6487179487179487,0.6820512820512821
DiatomSizeReduction,0.8660130718954249,0.9444444444444444,0.8725490196078431,0.8790849673202614,0.8790849673202614,0.9084967320261438,0.9183006535947712,0.8986928104575164,0.9117647058823529,0.9019607843137255,0.8856209150326797,0.9313725490196079,0.934640522875817,0.9084967320261438,0.9183006535947712,0.8856209150326797,0.8954248366013072,0.9215686274509803,0.9084967320261438,0.8921568627450981,0.9052287581699346,0.8921568627450981,0.8888888888888888,0.8986928104575164,0.8921568627450981,0.9313725490196079,0.9117647058823529,0.9379084967320261,0.8954248366013072,0.9411764705882353
DistalPhalanxOutlineAgeGroup,0.7482014388489209,0.8201438848920863,0.8345323741007195,0.8848920863309353,0.7338129496402878,0.7769784172661871,0.8201438848920863,0.8201438848920863,0.762589928057554,0.7841726618705036,0.7985611510791367,0.841726618705036,0.8345323741007195,0.7913669064748201,0.841726618705036,0.8057553956834532,0.8201438848920863,0.8201438848920863,0.7913669064748201,0.7841726618705036,0.7841726618705036,0.8201438848920863,0.7913669064748201,0.8201438848920863,0.7985611510791367,0.7913669064748201,0.8201438848920863,0.7985611510791367,0.8201438848920863,0.8273381294964028
DistalPhalanxOutlineCorrect,0.7862318840579711,0.8369565217391305,0.855072463768116,0.782608695652174,0.8188405797101449,0.8260869565217391,0.8115942028985508,0.8043478260869565,0.8079710144927537,0.8405797101449275,0.8188405797101449,0.8514492753623188,0.8260869565217391,0.8478260869565217,0.822463768115942,0.855072463768116,0.8260869565217391,0.7862318840579711,0.8043478260869565,0.8007246376811594,0.8260869565217391,0.8043478260869565,0.8007246376811594,0.8333333333333334,0.8333333333333334,0.8079710144927537,0.8115942028985508,0.822463768115942,0.7971014492753623,0.822463768115942
DistalPhalanxTW,0.6690647482014388,0.6906474820143885,0.7050359712230215,0.697841726618705,0.7122302158273381,0.7122302158273381,0.7050359712230215,0.6762589928057554,0.6834532374100719,0.6546762589928058,0.6906474820143885,0.7050359712230215,0.6402877697841727,0.6834532374100719,0.7050359712230215,0.7194244604316546,0.6618705035971223,0.6474820143884892,0.6834532374100719,0.7122302158273381,0.6906474820143885,0.7338129496402878,0.6834532374100719,0.6906474820143885,0.697841726618705,0.6474820143884892,0.7050359712230215,0.697841726618705,0.6762589928057554,0.7194244604316546
Earthquakes,0.762589928057554,0.7841726618705036,0.7697841726618705,0.7697841726618705,0.7769784172661871,0.7697841726618705,0.7841726618705036,0.7553956834532374,0.7697841726618705,0.7410071942446043,0.7697841726618705,0.7697841726618705,0.7482014388489209,0.762589928057554,0.7697841726618705,0.7841726618705036,0.7553956834532374,0.762589928057554,0.7553956834532374,0.7841726618705036,0.7697841726618705,0.7482014388489209,0.7841726618705036,0.762589928057554,0.7553956834532374,0.7769784172661871,0.7697841726618705,0.762589928057554,0.7553956834532374,0.7769784172661871
ECG200,0.83,0.81,0.91,0.82,0.85,0.89,0.84,0.88,0.89,0.85,0.83,0.79,0.83,0.84,0.81,0.82,0.81,0.84,0.88,0.78,0.85,0.81,0.8,0.93,0.84,0.89,0.79,0.85,0.81,0.84
ECG5000,0.9391111111111111,0.9446666666666667,0.9464444444444444,0.9444444444444444,0.9417777777777778,0.9437777777777778,0.9477777777777778,0.9351111111111111,0.944,0.9446666666666667,0.9495555555555556,0.9406666666666667,0.9473333333333334,0.9384444444444444,0.9408888888888889,0.9448888888888889,0.9457777777777778,0.9457777777777778,0.9422222222222222,0.9488888888888889,0.9497777777777778,0.9433333333333334,0.9393333333333334,0.9473333333333334,0.9466666666666667,0.9437777777777778,0.9433333333333334,0.9455555555555556,0.9462222222222222,0.948
ECGFiveDays,0.9581881533101045,0.967479674796748,0.9767711962833914,0.9605110336817654,0.9396051103368177,0.9477351916376306,0.89198606271777,0.924506387921022,0.9639953542392566,0.9477351916376306,0.9361207897793263,0.9570267131242741,0.9047619047619048,0.9384436701509872,0.883855981416957,0.9570267131242741,0.8164924506387921,0.9523809523809523,0.9128919860627178,0.9012775842044135,0.9024390243902439,0.9117305458768873,0.9279907084785134,0.9442508710801394,0.9221835075493612,0.9744483159117305,0.943089430894309,0.9500580720092915,0.9036004645760743,0.8861788617886179
ElectricDevices,0.6935546621709247,0.8288159771754636,0.8250551160679549,0.8349111658669434,0.8314096744909869,0.8333549474776294,0.8275191285177019,0.8314096744909869,0.8277784982492543,0.8311503047594345,0.8293347166385683,0.8255738555310596,0.8253144857995072,0.8295940863701206,0.833095577746077,0.8328362080145247,0.8349111658669434,0.8266113344572689,0.8294644015043444,0.8342627415380625,0.8257035403968357,0.828297237712359,0.8341330566722863,0.8292050317727921,0.8294644015043444,0.8308909350278822,0.8337440020749578,0.8320580988198677,0.8347814810011671,0.8337440020749578
FaceAll,0.7473372781065089,0.9366863905325444,0.908284023668639,0.9165680473372781,0.9136094674556213,0.901775147928994,0.9029585798816568,0.8988165680473372,0.927810650887574,0.9266272189349113,0.9029585798816568,0.914792899408284,0.9301775147928995,0.906508875739645,0.927810650887574,0.9230769230769231,0.9142011834319527,0.9094674556213018,0.914792899408284,0.9,0.9023668639053254,0.9224852071005917,0.9171597633136095,0.9248520710059172,0.9094674556213018,0.8899408284023669,0.906508875739645,0.901775147928994,0.9136094674556213,0.8911242603550296
FaceFour,0.9090909090909091,0.8863636363636364,0.7272727272727273,0.8181818181818182,0.7727272727272727,0.875,0.8409090909090909,0.8977272727272727,0.8863636363636364,0.8409090909090909,0.8863636363636364,0.9090909090909091,0.9318181818181818,0.9204545454545454,0.9659090909090909,0.9545454545454546,0.8295454545454546,0.875,0.8295454545454546,0.875,0.7840909090909091,0.8636363636363636,0.7727272727272727,0.9090909090909091,0.8863636363636364,0.8409090909090909,0.8977272727272727,0.8181818181818182,0.9204545454545454,0.8068181818181818
FacesUCR,0.8336585365853658,0.8478048780487805,0.8390243902439024,0.8439024390243902,0.8380487804878048,0.8395121951219512,0.8521951219512195,0.8424390243902439,0.8707317073170732,0.8434146341463414,0.8419512195121951,0.8448780487804878,0.8336585365853658,0.8497560975609756,0.8448780487804878,0.84,0.8512195121951219,0.8390243902439024,0.8634146341463415,0.8390243902439024,0.8717073170731707,0.8707317073170732,0.8512195121951219,0.8760975609756098,0.8429268292682927,0.8512195121951219,0.8502439024390244,0.8473170731707317,0.8565853658536585,0.8375609756097561
