folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Adiac,0.8260869565217391,0.7902813299232737,0.7672634271099744,0.7800511508951407,0.8158567774936062,0.8005115089514067,0.7647058823529411,0.7877237851662404,0.7749360613810742,0.8132992327365729,0.7979539641943734,0.8056265984654731,0.782608695652174,0.7851662404092071,0.7877237851662404,0.7902813299232737,0.8081841432225064,0.7698209718670077,0.8081841432225064,0.8005115089514067,0.7877237851662404,0.8056265984654731,0.8107416879795396,0.7902813299232737,0.7851662404092071,0.7800511508951407,0.7953964194373402,0.782608695652174,0.8158567774936062,0.7979539641943734
ArrowHead,0.8742857142857143,0.9142857142857143,0.8571428571428571,0.9085714285714286,0.9257142857142857,0.8742857142857143,0.8685714285714285,0.9085714285714286,0.8685714285714285,0.9085714285714286,0.7942857142857143,0.8914285714285715,0.8457142857142858,0.8857142857142857,0.8971428571428571,0.8914285714285715,0.7885714285714286,0.9314285714285714,0.8971428571428571,0.8742857142857143,0.92,0.8685714285714285,0.8,0.8628571428571429,0.8971428571428571,0.8685714285714285,0.8914285714285715,0.8685714285714285,0.9257142857142857,0.8742857142857143
Beef,0.8333333333333334,0.5666666666666667,0.7666666666666667,0.6666666666666666,0.7666666666666667,0.6,0.8333333333333334,0.7666666666666667,0.7,0.7666666666666667,0.8,0.7,0.8333333333333334,0.5666666666666667,0.9,0.8,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.8,0.6,0.7666666666666667,0.7,0.6333333333333333,0.7,0.5,0.7333333333333333,0.7,0.7,0.8
BeetleFly,0.85,0.95,0.9,0.9,0.95,0.9,1.0,0.9,0.9,1.0,0.9,1.0,0.85,0.9,0.85,1.0,0.9,0.9,0.95,0.9,0.9,0.95,0.9,0.95,0.95,0.95,0.95,0.85,0.85,0.95
BirdChicken,0.9,0.9,0.9,1.0,1.0,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.95,0.9,0.8,0.95,1.0,0.9,0.9,0.95,0.9,0.9,0.9,0.75,0.9,0.95,0.9,0.9,0.95,0.9
Car,0.8666666666666667,0.9166666666666666,0.9166666666666666,0.9333333333333333,0.9,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.8666666666666667,0.8833333333333333,0.9333333333333333,0.9,0.85,0.95,0.9,0.8833333333333333,0.9333333333333333,0.9166666666666666,0.8666666666666667,0.95,0.9,0.8666666666666667,0.9,0.8666666666666667,0.9,0.95,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8166666666666667
CBF,0.99,0.98,0.9311111111111111,0.9788888888888889,0.9988888888888889,0.9677777777777777,0.9922222222222222,0.9955555555555555,0.9922222222222222,0.9966666666666667,0.9955555555555555,0.9944444444444445,0.9966666666666667,0.9977777777777778,0.9833333333333333,0.9933333333333333,0.97,0.9977777777777778,0.9911111111111112,0.9833333333333333,0.9466666666666667,0.9966666666666667,0.9944444444444445,0.9922222222222222,0.9944444444444445,0.9777777777777777,0.9933333333333333,0.9966666666666667,0.9922222222222222,0.9966666666666667
ChlorineConcentration,0.7252604166666666,0.7283854166666667,0.7403645833333333,0.7296875,0.7338541666666667,0.7255208333333333,0.7270833333333333,0.7197916666666667,0.7153645833333333,0.7104166666666667,0.71484375,0.69375,0.7072916666666667,0.7088541666666667,0.7111979166666667,0.7177083333333333,0.72578125,0.7270833333333333,0.734375,0.7223958333333333,0.71328125,0.7140625,0.7364583333333333,0.7197916666666667,0.7276041666666667,0.71875,0.715625,0.7130208333333333,0.6916666666666667,0.70859375
CinCECGTorso,0.9731884057971014,0.9659420289855073,0.9246376811594202,0.9731884057971014,0.9601449275362319,0.972463768115942,0.9753623188405797,0.9681159420289855,0.9565217391304348,0.9666666666666667,0.9797101449275363,0.9152173913043479,0.9775362318840579,0.9471014492753623,0.9173913043478261,0.9971014492753624,0.9739130434782609,0.941304347826087,0.9427536231884058,0.9920289855072464,0.9543478260869566,0.9746376811594203,0.9840579710144928,0.9376811594202898,0.9239130434782609,0.9920289855072464,0.9934782608695653,0.9072463768115943,0.9891304347826086,0.9557971014492753
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,0.9642857142857143,0.9642857142857143,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0
Computers,0.704,0.84,0.752,0.796,0.784,0.792,0.768,0.792,0.78,0.768,0.808,0.752,0.816,0.82,0.816,0.752,0.824,0.796,0.784,0.788,0.8,0.82,0.816,0.836,0.812,0.776,0.784,0.824,0.776,0.792
CricketX,0.7589743589743589,0.8102564102564103,0.7794871794871795,0.7615384615384615,0.7923076923076923,0.7897435897435897,0.764102564102564,0.8,0.7743589743589744,0.8179487179487179,0.8102564102564103,0.8153846153846154,0.7948717948717948,0.7871794871794872,0.7743589743589744,0.7923076923076923,0.7948717948717948,0.7923076923076923,0.7794871794871795,0.8025641025641026,0.7769230769230769,0.7666666666666667,0.7846153846153846,0.8076923076923077,0.7923076923076923,0.7615384615384615,0.7871794871794872,0.782051282051282,0.7897435897435897,0.764102564102564
CricketY,0.7666666666666667,0.7794871794871795,0.7794871794871795,0.7589743589743589,0.7615384615384615,0.8128205128205128,0.782051282051282,0.8128205128205128,0.8025641025641026,0.8102564102564103,0.782051282051282,0.8153846153846154,0.7948717948717948,0.8051282051282052,0.7948717948717948,0.7487179487179487,0.7923076923076923,0.8025641025641026,0.7923076923076923,0.8179487179487179,0.7871794871794872,0.7794871794871795,0.8153846153846154,0.8,0.7769230769230769,0.8,0.823076923076923,0.7897435897435897,0.7897435897435897,0.8025641025641026
CricketZ,0.7692307692307693,0.7974358974358975,0.8153846153846154,0.8076923076923077,0.8102564102564103,0.8153846153846154,0.8,0.8153846153846154,0.8205128205128205,0.7948717948717948,0.7923076923076923,0.8025641025641026,0.782051282051282,0.7846153846153846,0.7846153846153846,0.8025641025641026,0.7743589743589744,0.8333333333333334,0.8051282051282052,0.7846153846153846,0.8307692307692308,0.7538461538461538,0.7923076923076923,0.7743589743589744,0.782051282051282,0.7846153846153846,0.8,0.782051282051282,0.8,0.8051282051282052
