folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.87,0.73,0.75,0.76,0.75,0.78,0.7,0.83,0.77,0.77,0.68,0.8,0.79,0.76,0.76,0.81,0.78,0.8,0.73,0.73,0.81,0.69,0.67,0.83,0.82,0.8,0.74,0.81,0.76,0.77
Adiac,0.7570332480818415,0.7647058823529411,0.7365728900255755,0.7493606138107417,0.7493606138107417,0.7519181585677749,0.7468030690537084,0.7672634271099744,0.7416879795396419,0.7493606138107417,0.7570332480818415,0.7544757033248082,0.7519181585677749,0.731457800511509,0.7493606138107417,0.7416879795396419,0.7672634271099744,0.7723785166240409,0.7340153452685422,0.7391304347826086,0.7570332480818415,0.7263427109974424,0.7723785166240409,0.7493606138107417,0.7340153452685422,0.7442455242966752,0.710997442455243,0.7391304347826086,0.7647058823529411,0.7595907928388747
ArrowHead,0.8285714285714286,0.7942857142857143,0.8685714285714285,0.9085714285714286,0.8571428571428571,0.8742857142857143,0.88,0.8685714285714285,0.8514285714285714,0.9028571428571428,0.8114285714285714,0.8857142857142857,0.8114285714285714,0.8742857142857143,0.88,0.8914285714285715,0.88,0.8685714285714285,0.8228571428571428,0.8571428571428571,0.92,0.8514285714285714,0.8228571428571428,0.8914285714285715,0.9142857142857143,0.8571428571428571,0.9314285714285714,0.88,0.8742857142857143,0.9028571428571428
Beef,0.8333333333333334,0.5666666666666667,0.6,0.6,0.5666666666666667,0.5333333333333333,0.7333333333333333,0.6,0.5666666666666667,0.7,0.7666666666666667,0.6333333333333333,0.5666666666666667,0.5333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.7333333333333333,0.5,0.6666666666666666,0.6,0.6333333333333333,0.5,0.6666666666666666,0.5666666666666667,0.4666666666666667,0.7333333333333333,0.5333333333333333,0.5,0.5666666666666667
BeetleFly,0.9,0.9,0.85,0.95,1.0,1.0,1.0,1.0,0.95,0.85,1.0,0.9,0.95,0.8,0.95,1.0,1.0,0.95,1.0,0.9,0.85,0.95,1.0,0.9,0.95,1.0,0.95,1.0,0.85,1.0
BirdChicken,0.95,1.0,0.95,0.95,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.95,1.0,0.95
BME,0.8133333333333334,0.84,0.8933333333333333,0.8933333333333333,0.86,0.86,0.82,0.8333333333333334,0.66,0.8666666666666667,0.9333333333333333,0.8866666666666667,0.8333333333333334,0.86,0.8933333333333333,0.7933333333333333,0.8266666666666667,0.8733333333333333,0.9133333333333333,0.8666666666666667,0.88,0.86,0.96,0.92,0.9066666666666666,0.9266666666666666,0.88,0.9066666666666666,0.8666666666666667,0.8466666666666667
Car,0.8333333333333334,0.8666666666666667,0.9,0.8166666666666667,0.8,0.8666666666666667,0.9,0.85,0.85,0.85,0.8333333333333334,0.8666666666666667,0.85,0.8166666666666667,0.9166666666666666,0.7666666666666667,0.8833333333333333,0.8333333333333334,0.75,0.9,0.8,0.8333333333333334,0.8666666666666667,0.8166666666666667,0.9333333333333333,0.8,0.9333333333333333,0.8833333333333333,0.8,0.8333333333333334
CBF,0.9977777777777778,0.9966666666666667,0.9988888888888889,1.0,0.9988888888888889,1.0,1.0,1.0,0.9977777777777778,1.0,1.0,0.9988888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.9977777777777778,1.0,0.9933333333333333,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9977777777777778,0.9977777777777778,0.9966666666666667,1.0,1.0
Chinatown,0.7667638483965015,0.9154518950437318,0.8075801749271136,0.8309037900874635,0.9329446064139941,0.880466472303207,0.8629737609329446,0.8367346938775511,0.9329446064139941,0.8775510204081632,0.6472303206997084,0.8950437317784257,0.8688046647230321,0.9212827988338192,0.9183673469387755,0.9300291545189504,0.8862973760932945,0.9154518950437318,0.9125364431486881,0.8163265306122449,0.8979591836734694,0.9300291545189504,0.9125364431486881,0.7813411078717201,0.9329446064139941,0.9037900874635568,0.9067055393586005,0.9125364431486881,0.8979591836734694,0.880466472303207
ChlorineConcentration,0.6627604166666666,0.6716145833333333,0.6799479166666667,0.6479166666666667,0.6776041666666667,0.6625,0.66640625,0.6846354166666667,0.6640625,0.6361979166666667,0.6473958333333333,0.6377604166666667,0.6401041666666667,0.6627604166666666,0.6541666666666667,0.6807291666666667,0.6572916666666667,0.66796875,0.6375,0.6528645833333333,0.6481770833333333,0.6330729166666667,0.67265625,0.6513020833333333,0.6791666666666667,0.6611979166666667,0.6544270833333333,0.646875,0.6677083333333333,0.640625
CinCECGTorso,0.8891304347826087,0.8746376811594203,0.8463768115942029,0.894927536231884,0.9253623188405797,0.8789855072463768,0.8934782608695652,0.9710144927536232,0.9202898550724637,0.9557971014492753,0.8840579710144928,0.9347826086956522,0.9565217391304348,0.9065217391304348,0.9115942028985508,0.9405797101449276,0.9246376811594202,0.8615942028985507,0.841304347826087,0.9739130434782609,0.9601449275362319,0.9094202898550725,0.908695652173913,0.9260869565217391,0.9391304347826087,0.9304347826086956,0.9528985507246377,0.9318840579710145,0.9420289855072463,0.8565217391304348
Coffee,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0,0.9642857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9285714285714286,1.0
Computers,0.74,0.856,0.752,0.828,0.812,0.8,0.772,0.792,0.812,0.852,0.82,0.804,0.824,0.824,0.804,0.752,0.832,0.708,0.808,0.84,0.772,0.812,0.804,0.788,0.856,0.784,0.764,0.832,0.768,0.804
CricketX,0.7333333333333333,0.7743589743589744,0.7717948717948718,0.7692307692307693,0.7948717948717948,0.7410256410256411,0.7666666666666667,0.7974358974358975,0.782051282051282,0.7846153846153846,0.7487179487179487,0.7769230769230769,0.7564102564102564,0.764102564102564,0.7692307692307693,0.7769230769230769,0.764102564102564,0.7615384615384615,0.7512820512820513,0.7897435897435897,0.7384615384615385,0.7564102564102564,0.7615384615384615,0.7128205128205128,0.7487179487179487,0.7512820512820513,0.764102564102564,0.7384615384615385,0.7692307692307693,0.7564102564102564
CricketY,0.7538461538461538,0.7307692307692307,0.7410256410256411,0.7435897435897436,0.7487179487179487,0.7461538461538462,0.735897435897436,0.7564102564102564,0.7666666666666667,0.7461538461538462,0.7333333333333333,0.7333333333333333,0.7538461538461538,0.735897435897436,0.7743589743589744,0.7384615384615385,0.7538461538461538,0.7282051282051282,0.7282051282051282,0.7384615384615385,0.782051282051282,0.7846153846153846,0.7717948717948718,0.7948717948717948,0.717948717948718,0.7410256410256411,0.7564102564102564,0.7538461538461538,0.7615384615384615,0.7615384615384615
CricketZ,0.7435897435897436,0.782051282051282,0.7871794871794872,0.7692307692307693,0.7769230769230769,0.7871794871794872,0.7512820512820513,0.782051282051282,0.8076923076923077,0.764102564102564,0.7512820512820513,0.7769230769230769,0.7538461538461538,0.7794871794871795,0.7461538461538462,0.7846153846153846,0.782051282051282,0.7410256410256411,0.7743589743589744,0.7615384615384615,0.7897435897435897,0.7794871794871795,0.7564102564102564,0.764102564102564,0.7948717948717948,0.7897435897435897,0.7692307692307693,0.7410256410256411,0.7410256410256411,0.7512820512820513
Crop,0.6871428571428572,0.6814880952380953,0.6866071428571429,0.6863690476190476,0.6867857142857143,0.6808333333333333,0.6864880952380953,0.6845238095238095,0.6891666666666667,0.6786309523809524,0.6855357142857142,0.6793452380952381,0.67875,0.6792857142857143,0.6856547619047619,0.6869047619047619,0.6932142857142857,0.6876190476190476,0.6882738095238096,0.6917857142857143,0.6853571428571429,0.6898214285714286,0.6842857142857143,0.6820238095238095,0.6899404761904762,0.6851190476190476,0.6910119047619048,0.6815476190476191,0.6907142857142857,0.6864285714285714
DiatomSizeReduction,0.9281045751633987,0.9640522875816994,0.9019607843137255,0.8725490196078431,0.9640522875816994,0.9836601307189542,0.9640522875816994,0.9607843137254902,0.9934640522875817,0.9607843137254902,0.8986928104575164,0.9509803921568627,0.9084967320261438,0.9019607843137255,0.9183006535947712,0.9052287581699346,0.9477124183006536,0.9575163398692811,0.9869281045751634,0.9019607843137255,0.954248366013072,0.9281045751633987,0.9477124183006536,0.9673202614379085,0.8986928104575164,0.9934640522875817,0.9509803921568627,0.9738562091503268,0.9836601307189542,0.9869281045751634
DistalPhalanxOutlineAgeGroup,0.7338129496402878,0.8273381294964028,0.8345323741007195,0.8992805755395683,0.8129496402877698,0.8129496402877698,0.841726618705036,0.8705035971223022,0.7697841726618705,0.8129496402877698,0.8129496402877698,0.8561151079136691,0.7913669064748201,0.8345323741007195,0.8201438848920863,0.8201438848920863,0.841726618705036,0.7841726618705036,0.7985611510791367,0.7985611510791367,0.8129496402877698,0.7985611510791367,0.7985611510791367,0.8345323741007195,0.8345323741007195,0.841726618705036,0.7697841726618705,0.8489208633093526,0.8489208633093526,0.8561151079136691
DistalPhalanxOutlineCorrect,0.7391304347826086,0.8152173913043478,0.8514492753623188,0.7934782608695652,0.7934782608695652,0.8115942028985508,0.8043478260869565,0.7862318840579711,0.8115942028985508,0.8333333333333334,0.8369565217391305,0.8007246376811594,0.8405797101449275,0.8297101449275363,0.822463768115942,0.8478260869565217,0.8260869565217391,0.7898550724637681,0.8079710144927537,0.8079710144927537,0.8007246376811594,0.8333333333333334,0.7681159420289855,0.8405797101449275,0.8405797101449275,0.822463768115942,0.7898550724637681,0.8007246376811594,0.7971014492753623,0.8079710144927537
DistalPhalanxTW,0.697841726618705,0.6690647482014388,0.7050359712230215,0.697841726618705,0.6690647482014388,0.6906474820143885,0.6834532374100719,0.697841726618705,0.6762589928057554,0.6402877697841727,0.6546762589928058,0.6546762589928058,0.60431654676259,0.6618705035971223,0.6402877697841727,0.6330935251798561,0.6834532374100719,0.6690647482014388,0.6906474820143885,0.6906474820143885,0.6834532374100719,0.6906474820143885,0.6834532374100719,0.6690647482014388,0.6834532374100719,0.6474820143884892,0.6474820143884892,0.7050359712230215,0.6690647482014388,0.6546762589928058
Earthquakes,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7338129496402878,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7410071942446043,0.7482014388489209,0.7482014388489209
ECG200,0.87,0.84,0.91,0.89,0.92,0.93,0.86,0.92,0.91,0.86,0.92,0.86,0.85,0.89,0.82,0.89,0.84,0.89,0.92,0.85,0.86,0.88,0.82,0.91,0.89,0.91,0.82,0.89,0.87,0.86
ECG5000,0.9413333333333334,0.9395555555555556,0.944,0.9426666666666667,0.9391111111111111,0.9393333333333334,0.9411111111111111,0.9375555555555556,0.9406666666666667,0.9391111111111111,0.9402222222222222,0.9384444444444444,0.9411111111111111,0.9366666666666666,0.9371111111111111,0.9431111111111111,0.9397777777777778,0.9402222222222222,0.938,0.9397777777777778,0.9431111111111111,0.9417777777777778,0.9362222222222222,0.9404444444444444,0.9406666666666667,0.942,0.9384444444444444,0.9388888888888889,0.9391111111111111,0.9422222222222222
ECGFiveDays,1.0,1.0,1.0,0.9988385598141696,0.983739837398374,0.9825783972125436,0.9965156794425087,1.0,0.9732868757259001,1.0,0.9941927990708479,1.0,0.9523809523809523,0.983739837398374,1.0,0.9988385598141696,1.0,0.9988385598141696,1.0,1.0,0.9790940766550522,1.0,0.9790940766550522,0.991869918699187,1.0,0.9639953542392566,0.9941927990708479,0.9976771196283392,1.0,1.0
ElectricDevices,0.7074309428089742,0.8049539618726494,0.8050836467384256,0.8039164829464401,0.7783685643885359,0.8046945921410972,0.8044352224095448,0.8009337310335883,0.8024899494229023,0.798988458046946,0.8059914407988588,0.7860199714693296,0.801452470496693,0.7954869666709895,0.8008040461678122,0.8035274283491116,0.7996368823758268,0.8056023862015302,0.8013227856309169,0.8058617559330826,0.8019712099597976,0.7975619245234081,0.7979509791207366,0.7941901180132278,0.8039164829464401,0.8063804953961873,0.8004149915704837,0.8021008948255739,0.8062508105304111,0.7938010634158994
EOGHorizontalSignal,0.430939226519337,0.712707182320442,0.7071823204419889,0.6933701657458563,0.7458563535911602,0.6740331491712708,0.7513812154696132,0.6795580110497238,0.7099447513812155,0.7541436464088398,0.7071823204419889,0.7320441988950276,0.7348066298342542,0.6961325966850829,0.7292817679558011,0.7624309392265194,0.7237569060773481,0.7237569060773481,0.6795580110497238,0.7292817679558011,0.6878453038674033,0.7265193370165746,0.6933701657458563,0.7348066298342542,0.6906077348066298,0.7016574585635359,0.7016574585635359,0.7292817679558011,0.7292817679558011,0.7292817679558011
