folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.98,0.98,0.99,0.9766666666666667,0.9666666666666667,0.98,0.98,0.9833333333333333,0.9666666666666667,0.9766666666666667,0.98,0.98,0.98,0.97,0.9866666666666667,0.9866666666666667,0.99,0.9733333333333334,0.98,0.9933333333333333,0.97,0.97,0.9866666666666667,0.9666666666666667,0.97,0.9833333333333333,0.9733333333333334,0.99,0.9733333333333334,0.98
AtrialFibrillation,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.26666666666666666,0.2,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.2,0.26666666666666666,0.06666666666666667,0.2,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.2,0.2,0.13333333333333333,0.4
BasicMotions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cricket,0.9861111111111112,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112
DuckDuckGeese,0.54,0.56,0.64,0.54,0.58,0.52,0.6,0.56,0.48,0.58,0.52,0.68,0.6,0.74,0.54,0.5,0.6,0.56,0.56,0.56,0.6,0.58,0.54,0.52,0.52,0.66,0.64,0.52,0.56,0.68
EigenWorms,0.9236641221374046,0.8931297709923665,0.9236641221374046,0.9312977099236641,0.8549618320610687,0.8931297709923665,0.9236641221374046,0.8625954198473282,0.9389312977099237,0.8778625954198473,0.8854961832061069,0.916030534351145,0.916030534351145,0.9083969465648855,0.8931297709923665,0.9083969465648855,0.9312977099236641,0.916030534351145,0.9083969465648855,0.9236641221374046,0.9312977099236641,0.8854961832061069,0.916030534351145,0.9083969465648855,0.8549618320610687,0.9541984732824428,0.8549618320610687,0.9236641221374046,0.8778625954198473,0.9312977099236641
Epilepsy,0.9782608695652174,1.0,0.9855072463768116,0.9565217391304348,1.0,1.0,0.9855072463768116,0.9420289855072463,0.9710144927536232,0.9782608695652174,0.9782608695652174,0.9927536231884058,1.0,0.9855072463768116,0.9855072463768116,0.9927536231884058,1.0,1.0,0.9637681159420289,0.9855072463768116,1.0,1.0,1.0,0.9855072463768116,0.9637681159420289,1.0,1.0,1.0,0.9927536231884058,1.0
EthanolConcentration,0.6920152091254753,0.6692015209125475,0.6692015209125475,0.7110266159695817,0.7072243346007605,0.6730038022813688,0.688212927756654,0.6539923954372624,0.7034220532319392,0.6844106463878327,0.6539923954372624,0.6730038022813688,0.6273764258555133,0.5627376425855514,0.6539923954372624,0.6692015209125475,0.6692015209125475,0.6425855513307985,0.6730038022813688,0.7110266159695817,0.6425855513307985,0.6920152091254753,0.7110266159695817,0.6692015209125475,0.6730038022813688,0.6844106463878327,0.6539923954372624,0.596958174904943,0.7262357414448669,0.7072243346007605
ERing,0.9925925925925926,0.9814814814814815,0.9888888888888889,0.9777777777777777,0.9814814814814815,0.9703703703703703,0.9925925925925926,0.9814814814814815,0.937037037037037,0.9740740740740741,0.9851851851851852,0.9740740740740741,0.9814814814814815,0.9814814814814815,0.9925925925925926,0.9703703703703703,0.9518518518518518,0.9888888888888889,0.9629629629629629,0.9777777777777777,0.9851851851851852,0.9814814814814815,0.9740740740740741,0.9851851851851852,0.9777777777777777,0.9814814814814815,0.9777777777777777,0.9851851851851852,0.9740740740740741,0.9777777777777777
FaceDetection,0.6200340522133939,0.6816118047673099,0.6662883087400681,0.6762202043132803,0.66316685584563,0.6660045402951191,0.677639046538025,0.6662883087400681,0.6611804767309876,0.6648694665153235,0.6833144154370034,0.6850170261066969,0.6759364358683314,0.6711123723041997,0.6677071509648127,0.6770715096481271,0.6688422247446084,0.6787741203178207,0.6711123723041997,0.666572077185017,0.6759364358683314,0.6753688989784336,0.666572077185017,0.6552213393870602,0.6730987514188422,0.6668558456299659,0.6685584562996595,0.6603291713961408,0.674233825198638,0.6577752553916004
