folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ArticularyWordRecognition,0.99,0.9833333333333333,0.99,0.9733333333333334,0.9766666666666667,0.98,0.9733333333333334,0.9866666666666667,0.97,0.98,0.9766666666666667,0.9866666666666667,0.9866666666666667,0.97,0.9933333333333333,0.9833333333333333,0.98,0.9733333333333334,0.9766666666666667,0.9833333333333333,0.9866666666666667,0.9733333333333334,0.9733333333333334,0.9666666666666667,0.9766666666666667,0.98,0.97,0.98,0.9866666666666667,0.99
AtrialFibrillation,0.13333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,0.2,0.4666666666666667,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.2,0.26666666666666666,0.2,0.3333333333333333,0.4,0.4,0.3333333333333333,0.4666666666666667,0.2,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.4
BasicMotions,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cricket,0.9861111111111112,1.0,0.9861111111111112,1.0,1.0,0.9861111111111112,0.9861111111111112,1.0,1.0,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,1.0,1.0,0.9861111111111112,1.0,1.0,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,0.9861111111111112,1.0,0.9861111111111112,1.0,0.9861111111111112
DuckDuckGeese,0.48,0.34,0.54,0.48,0.54,0.46,0.46,0.4,0.46,0.48,0.4,0.58,0.44,0.46,0.54,0.48,0.48,0.52,0.52,0.58,0.42,0.48,0.48,0.46,0.5,0.44,0.5,0.46,0.36,0.54
EigenWorms,0.6335877862595419,0.7099236641221374,0.8015267175572519,0.8244274809160306,0.7709923664122137,0.7251908396946565,0.7709923664122137,0.7938931297709924,0.7862595419847328,0.8244274809160306,0.8396946564885496,0.8702290076335878,0.7404580152671756,0.8244274809160306,0.7480916030534351,0.7862595419847328,0.8320610687022901,0.8244274809160306,0.7022900763358778,0.8549618320610687,0.8473282442748091,0.7938931297709924,0.7251908396946565,0.7709923664122137,0.7938931297709924,0.8625954198473282,0.6412213740458015,0.8549618320610687,0.648854961832061,0.8473282442748091
Epilepsy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EthanolConcentration,0.7908745247148289,0.8098859315589354,0.8365019011406845,0.8365019011406845,0.8022813688212928,0.8136882129277566,0.8060836501901141,0.7908745247148289,0.8022813688212928,0.7832699619771863,0.8060836501901141,0.8174904942965779,0.8136882129277566,0.7490494296577946,0.8288973384030418,0.7870722433460076,0.7908745247148289,0.7718631178707225,0.8365019011406845,0.8250950570342205,0.8250950570342205,0.8060836501901141,0.7870722433460076,0.8250950570342205,0.8326996197718631,0.7870722433460076,0.7870722433460076,0.7756653992395437,0.8288973384030418,0.8517110266159695
ERing,0.9703703703703703,0.9222222222222223,0.9851851851851852,0.9481481481481482,0.9333333333333333,0.9444444444444444,0.9703703703703703,0.9555555555555556,0.9074074074074074,0.9629629629629629,0.9333333333333333,0.9555555555555556,0.9555555555555556,0.9629629629629629,0.9629629629629629,0.9259259259259259,0.9481481481481482,0.9851851851851852,0.9518518518518518,0.9481481481481482,0.9333333333333333,0.8629629629629629,0.9296296296296296,0.9259259259259259,0.9703703703703703,0.8851851851851852,0.9148148148148149,0.9555555555555556,0.937037037037037,0.9333333333333333
FaceDetection,0.6563564131668559,0.6901248581157775,0.7051645856980704,0.6841657207718501,0.6906923950056754,0.6904086265607264,0.72105561861521,0.7011918274687855,0.677639046538025,0.6793416572077186,0.6997729852440409,0.6975028376844495,0.6816118047673099,0.6926787741203179,0.6983541430192962,0.6997729852440409,0.7133938706015891,0.70261066969353,0.6989216799091941,0.684733257661748,0.702894438138479,0.7085698070374574,0.6855845629965948,0.6887060158910329,0.6384790011350738,0.6932463110102156,0.7122587968217934,0.6901248581157775,0.6750851305334846,0.6892735527809307
FingerMovements,0.55,0.56,0.47,0.6,0.56,0.53,0.56,0.59,0.54,0.49,0.44,0.61,0.6,0.5,0.59,0.55,0.54,0.59,0.56,0.47,0.54,0.51,0.46,0.56,0.48,0.53,0.54,0.48,0.55,0.58
