folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.89,0.78,0.81,0.8,0.82,0.85,0.77,0.76,0.74,0.73,0.75,0.85,0.8,0.69,0.81,0.81,0.78,0.81,0.82,0.76,0.81,0.73,0.75,0.81,0.81,0.83,0.84,0.74,0.76,0.79
Adiac,0.8260869565217391,0.8286445012787724,0.8209718670076727,0.8184143222506394,0.8107416879795396,0.8414322250639387,0.8235294117647058,0.8005115089514067,0.7877237851662404,0.7928388746803069,0.8158567774936062,0.7928388746803069,0.8056265984654731,0.8260869565217391,0.8184143222506394,0.8158567774936062,0.8491048593350383,0.8005115089514067,0.8056265984654731,0.8260869565217391,0.8132992327365729,0.8439897698209718,0.8337595907928389,0.8081841432225064,0.8235294117647058,0.8286445012787724,0.8056265984654731,0.8081841432225064,0.8388746803069054,0.8081841432225064
ArrowHead,0.6571428571428571,0.7657142857142857,0.8285714285714286,0.8742857142857143,0.8457142857142858,0.8457142857142858,0.8685714285714285,0.7828571428571428,0.7542857142857143,0.84,0.7885714285714286,0.8514285714285714,0.7371428571428571,0.8571428571428571,0.8171428571428572,0.8114285714285714,0.7542857142857143,0.7485714285714286,0.7714285714285715,0.8171428571428572,0.8342857142857143,0.7485714285714286,0.76,0.8457142857142858,0.8,0.7714285714285715,0.8285714285714286,0.8171428571428572,0.8114285714285714,0.84
Beef,0.7333333333333333,0.7333333333333333,0.7666666666666667,0.7,0.9666666666666667,0.7,0.9,0.7666666666666667,0.9,0.8333333333333334,0.8666666666666667,0.9,0.8333333333333334,0.5333333333333333,0.9333333333333333,0.8666666666666667,0.8,0.7666666666666667,0.6,0.9,0.7,0.9,0.8666666666666667,0.7666666666666667,0.6666666666666666,0.7333333333333333,0.8333333333333334,0.8333333333333334,0.9,0.8333333333333334
BeetleFly,0.9,0.95,0.85,0.95,0.85,0.85,0.8,0.85,0.9,0.85,1.0,0.95,0.85,0.85,0.8,1.0,0.95,0.9,0.9,0.95,0.95,0.8,0.95,1.0,0.85,0.95,0.95,0.85,0.85,0.95
BirdChicken,0.85,1.0,0.9,0.95,0.95,1.0,0.9,0.9,1.0,0.95,0.95,1.0,0.95,1.0,0.95,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,0.9,1.0,0.9
BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0
Car,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.7666666666666667,0.85,0.75,0.8,0.8,0.8666666666666667,0.8666666666666667,0.8333333333333334,0.8,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.85,0.8833333333333333,0.8333333333333334,0.8833333333333333,0.7666666666666667,0.7833333333333333,0.8166666666666667,0.8666666666666667,0.8166666666666667,0.85,0.85,0.8333333333333334,0.8,0.8166666666666667
CBF,0.9888888888888889,0.9866666666666667,0.9166666666666666,0.95,0.9855555555555555,0.9877777777777778,0.9811111111111112,0.9688888888888889,0.9611111111111111,0.9788888888888889,0.9822222222222222,0.9655555555555555,0.9822222222222222,0.9922222222222222,0.9755555555555555,0.99,0.9811111111111112,0.9377777777777778,0.9722222222222222,0.89,0.9311111111111111,0.9877777777777778,0.9811111111111112,0.9844444444444445,0.9733333333333334,0.9633333333333334,0.98,0.97,0.9944444444444445,0.9677777777777777
Chinatown,0.9855072463768116,0.9797101449275363,0.9768115942028985,0.9768115942028985,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9884057971014493,0.9884057971014493,0.9855072463768116,0.9797101449275363,0.9855072463768116,0.9768115942028985,0.9797101449275363,0.9797101449275363,0.9884057971014493,0.9681159420289855,0.9768115942028985,0.9855072463768116,0.9739130434782609,0.9855072463768116,0.9797101449275363,0.9768115942028985,0.9739130434782609,0.9826086956521739,0.9826086956521739,0.9884057971014493,0.9768115942028985,0.9594202898550724
ChlorineConcentration,0.7791666666666667,0.7864583333333334,0.7979166666666667,0.79921875,0.7919270833333333,0.7822916666666667,0.7963541666666667,0.7682291666666666,0.7958333333333333,0.74609375,0.790625,0.7588541666666667,0.8020833333333334,0.7872395833333333,0.7908854166666667,0.7877604166666666,0.7875,0.7950520833333333,0.78359375,0.7934895833333333,0.77109375,0.7799479166666666,0.7815104166666667,0.7989583333333333,0.79921875,0.7653645833333333,0.7481770833333333,0.7684895833333333,0.78125,0.7630208333333334
CinCECGTorso,0.9847826086956522,0.9572463768115942,0.9833333333333333,1.0,0.9985507246376811,0.9804347826086957,0.908695652173913,0.9978260869565218,0.9630434782608696,0.9920289855072464,0.9521739130434783,0.9898550724637681,0.9942028985507246,0.9876811594202899,0.986231884057971,0.9978260869565218,0.9702898550724638,0.991304347826087,0.9702898550724638,0.9985507246376811,0.9782608695652174,0.9884057971014493,0.994927536231884,0.9717391304347827,0.9536231884057971,0.9746376811594203,0.9746376811594203,1.0,0.9971014492753624,0.9710144927536232
