folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.92,0.78,0.76,0.83,0.86,0.84,0.71,0.8,0.72,0.82,0.77,0.83,0.79,0.75,0.78,0.81,0.81,0.83,0.86,0.71,0.82,0.75,0.75,0.82,0.81,0.74,0.77,0.79,0.75,0.85
Adiac,0.7800511508951407,0.7595907928388747,0.7263427109974424,0.7263427109974424,0.7621483375959079,0.7365728900255755,0.7493606138107417,0.7519181585677749,0.731457800511509,0.7800511508951407,0.7391304347826086,0.7519181585677749,0.7365728900255755,0.7468030690537084,0.7544757033248082,0.7442455242966752,0.7621483375959079,0.7289002557544757,0.7442455242966752,0.7928388746803069,0.782608695652174,0.7493606138107417,0.7442455242966752,0.7774936061381074,0.7416879795396419,0.7621483375959079,0.7365728900255755,0.7493606138107417,0.7544757033248082,0.7595907928388747
ArrowHead,0.8857142857142857,0.8971428571428571,0.9142857142857143,0.9085714285714286,0.9314285714285714,0.9142857142857143,0.88,0.9028571428571428,0.92,0.9028571428571428,0.8914285714285715,0.9085714285714286,0.8628571428571429,0.8857142857142857,0.9085714285714286,0.9314285714285714,0.8685714285714285,0.9028571428571428,0.8971428571428571,0.8857142857142857,0.9428571428571428,0.9028571428571428,0.8571428571428571,0.9142857142857143,0.9257142857142857,0.92,0.9142857142857143,0.9085714285714286,0.9028571428571428,0.9028571428571428
Beef,0.8333333333333334,0.7,0.7666666666666667,0.6333333333333333,0.7333333333333333,0.6,0.7,0.7333333333333333,0.8333333333333334,0.7333333333333333,0.7666666666666667,0.6666666666666666,0.6666666666666666,0.5333333333333333,0.8,0.6666666666666666,0.6666666666666666,0.7,0.6,0.7,0.6666666666666666,0.8,0.6333333333333333,0.6333333333333333,0.6,0.5333333333333333,0.8,0.7,0.8666666666666667,0.7333333333333333
BeetleFly,1.0,1.0,0.9,0.95,0.95,0.9,1.0,0.95,0.95,1.0,1.0,1.0,0.85,0.85,0.85,1.0,0.9,0.85,1.0,0.9,0.95,0.95,0.9,0.95,0.9,0.95,0.95,0.9,0.85,1.0
BirdChicken,0.95,1.0,0.9,1.0,0.9,1.0,0.95,0.95,0.95,0.9,0.9,1.0,1.0,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.95,1.0,1.0,1.0,1.0,0.9
BME,0.8733333333333333,0.9,0.92,0.96,0.8866666666666667,0.88,0.8333333333333334,0.9266666666666666,0.88,0.86,0.9866666666666667,0.94,0.88,0.9866666666666667,0.98,0.94,0.8,0.9,0.9333333333333333,0.8666666666666667,0.8,0.8466666666666667,0.9866666666666667,0.9266666666666666,0.9266666666666666,1.0,0.9733333333333334,0.9666666666666667,0.9666666666666667,0.92
Car,0.85,0.8166666666666667,0.9166666666666666,0.85,0.7833333333333333,0.9333333333333333,0.85,0.9166666666666666,0.85,0.9333333333333333,0.8166666666666667,0.9166666666666666,0.8666666666666667,0.85,0.8833333333333333,0.7666666666666667,0.9,0.9333333333333333,0.8166666666666667,0.9333333333333333,0.8,0.8333333333333334,0.9166666666666666,0.8666666666666667,0.9,0.8666666666666667,0.95,0.9,0.8,0.8833333333333333
CBF,0.9988888888888889,0.9977777777777778,0.9977777777777778,0.9866666666666667,1.0,0.9988888888888889,1.0,0.9977777777777778,0.9866666666666667,1.0,0.9988888888888889,0.9877777777777778,1.0,1.0,0.9988888888888889,1.0,1.0,1.0,0.9988888888888889,1.0,1.0,0.9988888888888889,1.0,0.9988888888888889,0.9911111111111112,0.9788888888888889,1.0,0.9911111111111112,1.0,0.9933333333333333
Chinatown,0.9623188405797102,0.9739130434782609,0.9536231884057971,0.9478260869565217,0.9594202898550724,0.9652173913043478,0.936231884057971,0.9594202898550724,0.9536231884057971,0.9391304347826087,0.9565217391304348,0.9478260869565217,0.9536231884057971,0.9594202898550724,0.9565217391304348,0.9536231884057971,0.9507246376811594,0.9507246376811594,0.9623188405797102,0.9652173913043478,0.9391304347826087,0.9478260869565217,0.9478260869565217,0.9681159420289855,0.9507246376811594,0.9565217391304348,0.9507246376811594,0.9449275362318841,0.9536231884057971,0.9478260869565217
